Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1998.2321192423503 58.60363515218099 0.6990892962394586 0.8852 0.3754 6
adirondack_chairs.ppm 1859.6566289265952 57.27499643961589 0.714283138882077 0.8822 0.3711 7
adirondack_chairs.ppm 1773.7644424438477 54.18219248453776 0.7382324865285699 0.8906 0.3805 7
adirondack_chairs.ppm 1695.3152745564778 56.121360778808594 0.7263881836757564 0.8729 0.3648 8
adirondack_chairs.ppm 1888.9319305419922 56.77979024251302 0.7125807306519407 0.8877 0.3818 8
adirondack_chairs.ppm 1883.8944778442383 58.51666514078776 0.7162536762043391 0.8768 0.3745 6
adirondack_chairs.ppm 1517.057502746582 52.26661936442058 0.7342045971438539 0.8989 0.3859 6
adirondack_chairs.ppm 1518.803820292155 52.782590230305985 0.7318603344487723 0.8935 0.4047 7
adirondack_chairs.ppm 1747.870023091634 55.287549336751304 0.7248611855685597 0.8819 0.3676 7
adirondack_chairs.ppm 1445.6401850382488 50.972958882649735 0.7454240305530014 0.8898 0.3890 6
adirondack_chairs.ppm 1836.6475880940754 55.58973693847656 0.7375714653813578 0.8811 0.4149 7
adirondack_chairs.ppm 1764.079355875651 56.659881591796875 0.7242329154056867 0.8784 0.3875 7
adirondack_chairs.ppm 2325.5860621134443 62.97364552815755 0.6847585395043003 0.8561 0.3395 7
adirondack_chairs.ppm 1910.2467829386394 60.30449676513672 0.7118564069369938 0.8689 0.4088 7
adirondack_chairs.ppm 1484.2452239990234 50.05670166015625 0.7305144271521183 0.9025 0.4047 7
adirondack_chairs.ppm 1565.4554799397786 53.076955159505204 0.7489476462878831 0.8900 0.4089 7
adirondack_chairs.ppm 1597.3001022338867 52.28901926676432 0.7531184135221033 0.8929 0.3999 7
adirondack_chairs.ppm 1811.522076924642 57.000867207845054 0.7120423918085229 0.8788 0.3715 6
adirondack_chairs.ppm 1515.033706665039 51.581888834635414 0.7625126628863598 0.9131 0.4106 7
adirondack_chairs.ppm 2035.2463048299155 61.82647450764974 0.7131472815823038 0.8744 0.3958 7
astro_bodies.ppm 953.2489547729492 36.851132710774735 0.7339237207694578 0.8753 0.4321 8
astro_bodies.ppm 1065.9180399576821 36.27703857421875 0.7798441786305775 0.8700 0.4397 7
astro_bodies.ppm 1515.0087865193684 45.61035410563151 0.7376694525449775 0.8531 0.4098 6
astro_bodies.ppm 1225.0546620686848 36.70858256022136 0.7504684778608058 0.8828 0.4460 8
astro_bodies.ppm 1466.1105728149414 42.83582305908203 0.7464294570152821 0.8620 0.3865 6
astro_bodies.ppm 1296.5327758789062 38.95562744140625 0.7285338940599324 0.8580 0.4068 6
astro_bodies.ppm 1134.1096394856772 37.34142557779948 0.7861486584384064 0.8722 0.4283 7
astro_bodies.ppm 1136.7359008789062 37.706817626953125 0.781234711295134 0.8661 0.4058 7
astro_bodies.ppm 1082.8606287638345 34.96383921305339 0.7965079030811927 0.8775 0.4097 8
astro_bodies.ppm 960.0723520914714 36.07495625813802 0.7853962386437447 0.8812 0.4269 7
astro_bodies.ppm 1047.6728769938152 37.96749369303385 0.7703731071992431 0.8791 0.4302 6
astro_bodies.ppm 1002.5353240966797 33.89776102701823 0.7844242589047514 0.8795 0.4214 7
astro_bodies.ppm 1055.275998433431 38.10190073649089 0.7764725391220555 0.8640 0.3973 7
astro_bodies.ppm 879.8039830525715 34.308240254720054 0.7830555592466677 0.8677 0.4079 7
astro_bodies.ppm 949.1374359130859 35.11111958821615 0.7747309521401871 0.8571 0.3981 7
astro_bodies.ppm 1460.4700520833335 46.95751953125 0.6795660496225361 0.8455 0.4448 8
astro_bodies.ppm 1539.5647201538086 46.27069854736328 0.6999133009684265 0.8616 0.4155 7
astro_bodies.ppm 1259.7010091145833 40.37454732259115 0.7511337451063711 0.8543 0.3959 6
astro_bodies.ppm 1046.9584376017253 36.7314936319987 0.7484032261996708 0.8756 0.4109 7
astro_bodies.ppm 993.2797190348308 33.81946818033854 0.7848591614122516 0.8754 0.4334 7
astronaut.ppm 803.9959716796875 36.42104085286458 0.7568943845354291 0.8508 0.3792 7
astronaut.ppm 755.8449656168619 37.448308308919266 0.7623914383162198 0.8418 0.3780 7
astronaut.ppm 687.1507975260416 35.241383870442704 0.7682607100796477 0.8481 0.3715 6
astronaut.ppm 808.0569076538086 39.26413218180338 0.7561166065137274 0.8512 0.4112 7
astronaut.ppm 1090.9526545206704 46.663658142089844 0.7172355337829419 0.8219 0.3403 7
astronaut.ppm 803.7035319010417 38.73494974772135 0.6802524560564637 0.8681 0.4002 6
astronaut.ppm 842.1675084431965 39.99134572347005 0.7276506376808598 0.8573 0.3827 7
astronaut.ppm 899.6488189697266 42.29487101236979 0.7259807510596795 0.8455 0.3675 6
astronaut.ppm 774.9634602864584 38.43719991048177 0.7095839582388045 0.8583 0.3772 7
astronaut.ppm 1468.337781270345 49.86615753173828 0.6709654343987905 0.8289 0.3836 7
astronaut.ppm 827.2403233846029 39.8135503133138 0.7424899831667799 0.8427 0.3686 7
astronaut.ppm 697.2112197875977 36.69421641031901 0.7473869383271478 0.8443 0.3747 7
astronaut.ppm 956.0922927856445 43.4566167195638 0.7259159124906178 0.8489 0.3866 7
astronaut.ppm 933.2180913289387 40.62667592366536 0.7474225992852986 0.8381 0.3815 8
astronaut.ppm 1439.8806025187175 47.71465301513672 0.7210304544838403 0.8429 0.3883 7
astronaut.ppm 764.548932393392 38.382789611816406 0.7472568144466537 0.8476 0.3689 8
astronaut.ppm 730.1581522623698 35.835194905598954 0.7702286127812371 0.8519 0.3710 7
astronaut.ppm 956.3456166585286 38.8703867594401 0.752609132731477 0.8533 0.3850 6
astronaut.ppm 1089.2796223958333 44.82765197753906 0.7061171285784923 0.8346 0.3627 7
astronaut.ppm 1025.730967203776 43.78008015950521 0.726001855459035 0.8347 0.3425 6
balinese_dancer.ppm 1124.0758845011392 33.64351145426433 0.7308570075351358 0.8357 0.3223 7
balinese_dancer.ppm 1018.6028594970703 28.933863321940102 0.768025443511804 0.8788 0.3576 7
balinese_dancer.ppm 863.0401280721028 29.428662618001304 0.7578359838106691 0.8663 0.3449 6
balinese_dancer.ppm 859.6230951944988 30.174059549967446 0.7372766866245494 0.8540 0.3574 7
balinese_dancer.ppm 916.5615895589192 30.977813720703125 0.7425001595871162 0.8712 0.3629 7
balinese_dancer.ppm 499.89838663736975 23.437703450520832 0.7079122829097958 0.8965 0.3953 8
